Energy,Momentum,Parton,CTEQ6D Value,CTEQ6L1 Value
8,4,7,2.70282,2.73067
9,4,0,1.89095,1.89515
9,4,1,1.33072,1.31606
9,4,2,0.932139,0.915169
9,4,3,0.65742,0.637444
9,4,4,0.46209,0.445818
9,4,5,0.32745,0.312821
9,4,6,0.231234,0.220453
9,4,7,0.164908,0.156104
10,4,0,0.117251,0.111101
10,4,1,0.0843711,0.0794875
10,4,2,0.060566,0.0571754
10,4,3,0.0440971,0.0413411
10,4,4,0.0321058,0.0300937
10,4,5,0.0237202,0.0219609
10,4,6,0.0175222,0.0161069
10,4,7,0.0131757,0.011855
11,4,0,0.00992342,0.00875019
11,4,1,0.00761416,0.00647204
11,4,2,0.00585184,0.00479282
11,4,3,0.00458307,0.00356186
11,4,4,0.00358869,0.00263895
11,4,5,0.00287075,0.00195605
11,4,6,0.00229353,0.00144781
11,4,7,0.00186541,0.00106958
12,4,0,0.00150825,0.000787407
12,4,1,0.00123923,0.000577324
12,4,2,0.00100938,0.000421143
12,4,3,0.000832422,0.000305181
12,4,4,0.000677578,0.000219516
12,4,5,0.00055673,0.000156234
12,4,6,0.000449466,0.000110202
12,4,7,0.000365687,7.63331e-05
13,4,0,0.000291455,5.18514e-05
13,4,1,0.000233072,3.43069e-05
13,4,2,0.000181604,2.18717e-05
13,4,3,0.000141595,1.31796e-05
13,4,4,0.000106824,7.21383e-06
13,4,5,8.05163e-05,3.21428e-06
13,4,6,5.77793e-05,6.37239e-07
13,4,7,4.11553e-05,0.0
14,4,0,2.73325e-05,0.0
14,4,1,1.75897e-05,0.0
14,4,2,9.91187e-06,0.0
14,4,3,4.89756e-06,0.0
14,4,4,1.28318e-06,0.0
14,4,5,0.0,0.0
14,4,6,0.0,0.0
14,4,7,0.0,0.0
15,4,0,0.0,0.0
15,4,1,0.0,0.0
15,4,2,0.0,0.0
15,4,3,0.0,0.0
15,4,4,0.0,0.0
15,4,5,0.0,0.0
15,4,6,0.0,0.0
15,4,7,0.0,0.0
16,4,0,2392010.0,3211600.0
16,4,1,1780030.0,2380670.0
16,4,2,1299190.0,1727990.0
16,4,3,949485.0,1253570.0
16,4,4,692065.0,908762.0
16,4,5,505082.0,658311.0
16,4,6,367598.0,476520.0
16,4,7,267880.0,344658.0
17,4,0,194648.0,249080.0
17,4,1,141618.0,179853.0
17,4,2,102725.0,129752.0
17,4,3,74608.9,93521.1
17,4,4,54017.3,67342.5
17,4,5,39158.7,48443.4
17,4,6,28293.1,34812.0
17,4,7,20468.3,24989.2
18,4,0,14755.9,17917.9
18,4,1,10651.0,12832.3
18,4,2,7659.86,9178.91
18,4,3,5515.51,6557.17
18,4,4,3956.12,4677.97
18,4,5,2841.05,3332.62
18,4,6,2031.95,2370.69
18,4,7,1455.05,1683.79
19,4,0,1037.49,1193.98
19,4,1,740.659,845.198
19,4,2,526.24,597.324
19,4,3,372.602,419.095
19,4,4,263.904,295.131
19,4,5,187.173,207.427
19,4,6,132.086,145.49
19,4,7,93.3437,101.834
0,5,0,65.5893,71.0836
0,5,1,46.1676,49.5152
0,5,2,32.3295,34.4209
0,5,3,22.6915,23.8855
0,5,4,15.843,16.5428
0,5,5,11.0943,11.4399
0,5,6,7.72973,7.90179
0,5,7,5.4063,5.45405
1,5,0,3.7639,3.76404
1,5,1,2.63355,2.59913
1,5,2,1.83511,1.79718
1,5,3,1.28637,1.2447
1,5,4,0.899319,0.865622
1,5,5,0.63339,0.603987
1,5,6,0.444936,0.423285
1,5,7,0.315453,0.298086
2,5,0,0.223222,0.211003
2,5,1,0.159763,0.150158
2,5,2,0.11422,0.107443
2,5,3,0.0827728,0.0772847
2,5,4,0.0600705,0.0559731
2,5,5,0.0442063,0.0406406
2,5,6,0.0325754,0.0296592
2,5,7,0.0244183,0.0217223
3,5,0,0.0183559,0.0159551
3,5,1,0.0140459,0.0117443
3,5,2,0.0107761,0.00865522
3,5,3,0.00841825,0.00640191
3,5,4,0.0065807,0.00472077
3,5,5,0.00524731,0.00348303
3,5,6,0.00418224,0.0025665
3,5,7,0.00338793,0.00188794
4,5,0,0.00273084,0.00138437
4,5,1,0.00223293,0.00101149
4,5,2,0.00181163,0.000735835
4,5,3,0.00148568,0.000532347
4,5,4,0.00120384,0.000382885
4,5,5,0.000983049,0.000273137
4,5,6,0.000790021,0.000193776
4,5,7,0.000638896,0.000135714
5,5,0,0.000506913,9.39605e-05
5,5,1,0.000403203,6.41616e-05
5,5,2,0.000313123,4.30877e-05
5,5,3,0.000243226,2.83441e-05
5,5,4,0.00018337,1.81614e-05
5,5,5,0.000138129,1.12373e-05
5,5,6,9.96179e-05,6.6205e-06
5,5,7,7.14761e-05,3.6063e-06
6,5,0,4.83877e-05,1.71747e-06
6,5,1,3.21076e-05,5.69638e-07
6,5,2,1.94006e-05,0.0
6,5,3,1.10459e-05,0.0
6,5,4,5.02071e-06,0.0
6,5,5,1.60368e-06,0.0
6,5,6,0.0,0.0
6,5,7,0.0,0.0
7,5,0,0.0,0.0
7,5,1,0.0,0.0
7,5,2,0.0,0.0
7,5,3,0.0,0.0
7,5,4,0.0,0.0
7,5,5,0.0,0.0
7,5,6,0.0,0.0
7,5,7,0.0,0.0
8,5,0,4060590.0,5604660.0
8,5,1,3015920.0,4144060.0
8,5,2,2195920.0,2998750.0
8,5,3,1600600.0,2168740.0
8,5,4,1163790.0,1567290.0
8,5,5,847059.0,1131770.0
8,5,6,614947.0,816619.0
8,5,7,446894.0,588737.0
9,5,0,323897.0,424083.0
9,5,1,234990.0,305206.0
9,5,2,170011.0,219448.0
9,5,3,123124.0,157635.0
9,5,4,88905.9,113120.0
9,5,5,64261.1,81091.1
9,5,6,46304.5,58067.8
9,5,7,33397.8,41534.1
10,5,0,24010.4,29673.1
10,5,1,17277.9,21173.1
10,5,2,12390.6,15088.6
10,5,3,8893.88,10738.1
10,5,4,6360.94,7631.29
10,5,5,4553.33,5415.37
10,5,6,3246.99,3836.99
10,5,7,2317.43,2714.24
11,5,0,1647.39,1916.77
11,5,1,1172.02,1351.15
11,5,2,830.179,950.832
11,5,3,585.682,664.188
11,5,4,413.487,465.664
11,5,5,292.189,325.809
11,5,6,205.499,227.475
11,5,7,144.665,158.472
12,5,0,101.288,110.089
